timestamp_ms,excursion_id,event,symbol,direction,residual_bps,threshold_bps,net_margin_bps,spread_bps,binance_move_bps,mexc_move_bps,binance_age_ms,mexc_age_ms,reject_reason,signal_to_order_latency_ms,live_pnl_usdt,move_bps,mfe_bps,mae_bps,exit_reason,hold_ms,filled_qty,effective_leverage,live_notional_usdt,demo_entry_fee_usdt,demo_exit_fee_usdt,demo_gross_pnl_usdt,demo_net_pnl_usdt,exit_residual_bps,decision_demo_net_bps,signal_detected_ms,demo_book_lookup_start_ms,demo_book_lookup_end_ms,ioc_call_start_ms,ioc_post_start_ms,ioc_post_response_ms,ioc_confirmed_ms,reconciliation_start_ms,provisional_started_ms,position_visible_ms,signal_to_ioc_post_ms,ioc_post_roundtrip_ms,ioc_confirmation_ms,reconciliation_ms,signal_to_provisional_ms,signal_to_position_visible_ms
1786796703306,6c8e3457f1294cbab9f6ce91a7e5209e,crossing,LINK_USDT,1,2.130038881,1.264792632,0.865246250,1.064792632,2.130038881,0.000000000,0.000,22.000,,,,,,,,,,,,,,,,,,1786796703306.132,,,,,,,,,,,,,,,
1786796703307,6c8e3457f1294cbab9f6ce91a7e5209e,demo_ioc_request,LINK_USDT,1,2.130038881,1.264792632,0.865246250,1.064792632,2.130038881,0.000000000,2.000,24.000,,1.265,,,,,,,,,,,,,,,,1786796703306.132,1786796703307.186,1786796703307.190,1786796703307.397,,,,,,,,,,,,
1786796703987,6c8e3457f1294cbab9f6ce91a7e5209e,demo_ioc_response,LINK_USDT,1,2.130038881,1.264792632,0.865246250,1.064792632,2.130038881,0.000000000,2.000,24.000,,1.265,,,,,,,,,,,,,,,,1786796703306.132,1786796703307.186,1786796703307.190,1786796703307.397,1786796703321.951,1786796703685.190,1786796703987.660,,,,15.819,363.239,665.709,,,
1786796704311,6c8e3457f1294cbab9f6ce91a7e5209e,demo_position_visible,LINK_USDT,1,2.130038881,1.264792632,0.865246250,1.064792632,2.130038881,0.000000000,2.000,24.000,,,,,,,,,1064.1,200,,,,,,,,1786796703306.132,1786796703307.186,1786796703307.190,1786796703307.397,1786796703321.951,1786796703685.190,1786796703987.660,1786796703988.490,1786796703988.497,1786796704311.339,15.819,363.239,665.709,322.850,682.365,1005.207
1786796711691,6c8e3457f1294cbab9f6ce91a7e5209e,demo_exit,LINK_USDT,1,2.130038881,1.264792632,0.865246250,1.064792632,2.130038881,0.000000000,2.000,24.000,,,-2.128200000,-2.129471891,0.000000000,-2.129471891,demo_adverse_cut,7075.002,1064.1,200,9994.027200000,1.998805440,1.998294560,-2.128200000,-6.125300000,0.000000000,-6.129045997,1786796703306.132,1786796703307.186,1786796703307.190,1786796703307.397,1786796703321.951,1786796703685.190,1786796703987.660,1786796703988.490,1786796703988.497,1786796704311.339,15.819,363.239,665.709,322.850,682.365,1005.207
1786796750999,a1af5eca62b84df29a2e118ca1199c64,crossing,LINK_USDT,-1,-2.125737373,1.263660054,0.862077319,1.063660054,-2.125737373,0.000000000,0.000,702.000,,,,,,,,,,,,,,,,,,1786796750999.999,,,,,,,,,,,,,,,
1786796751000,a1af5eca62b84df29a2e118ca1199c64,demo_ioc_request,LINK_USDT,-1,-2.125737373,1.263660054,0.862077319,1.063660054,-2.125737373,0.000000000,1.000,703.000,,0.838,,,,,,,,,,,,,,,,1786796750999.999,1786796751000.741,1786796751000.746,1786796751000.836,,,,,,,,,,,,
1786796752719,a1af5eca62b84df29a2e118ca1199c64,demo_ioc_response,LINK_USDT,-1,-2.125737373,1.263660054,0.862077319,1.063660054,-2.125737373,0.000000000,1.000,703.000,,0.838,,,,,,,,,,,,,,,,1786796750999.999,1786796751000.741,1786796751000.746,1786796751000.836,1786796751014.236,1786796751327.864,1786796752719.652,,,,14.238,313.628,1705.416,,,
1786796758288,a1af5eca62b84df29a2e118ca1199c64,rejected,LINK_USDT,-1,-2.125737373,1.263660054,0.862077319,1.063660054,-2.125737373,0.000000000,1.000,703.000,demo_ioc_unfilled_or_pending,0.838,,,,,,,,,,,,,,,,1786796750999.999,1786796751000.741,1786796751000.746,1786796751000.836,1786796751014.236,1786796751327.864,1786796752719.652,1786796752721.282,,,14.238,313.628,1705.416,,,
1786796762863,c8e7841e7e6f492abba43fd685965f4d,crossing,LINK_USDT,1,3.189453567,1.262981664,1.926471904,1.062981664,3.189453567,0.000000000,0.000,6.000,,,,,,,,,,,,,,,,,,1786796762863.562,,,,,,,,,,,,,,,
