symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason
LINK_USDT,LONG,1786809558620,1786809559331,1786809594423,9.504,9.506,3.1572300830570397,1.052243910137787,2.1043771043778072,2.1043771043778072,2.1043771043778072,-1.052188552187969,35092,711,1106,binance_target_caught
LINK_USDT,SHORT,1786809595806,1786809596538,1786809602611,9.503,9.509,-3.156897847958485,1.052243910137787,-6.313795643481245,-6.313795643481245,0.0,-6.313795643481245,6073,732,1433,live_adverse_cut
LINK_USDT,LONG,1786809610351,1786809611045,1786809616719,9.51,9.509,2.1033811930085577,1.0515799989478374,-1.0515247108301218,-1.0515247108301218,0.0,-2.1030494216621114,5674,694,375,live_adverse_cut
LINK_USDT,LONG,1786809621852,1786809622524,1786809628708,9.516,9.507,1.5765824979456178,3.153082137789809,-9.457755359395062,-9.457755359395062,0.0,-9.457755359395062,6184,672,360,live_adverse_cut
LINK_USDT,SHORT,1786809636397,1786809637023,1786809640866,9.503,9.51,-1.5781582925514552,1.052243910137787,-7.366094917394163,-7.366094917394163,0.0,-7.366094917394163,3843,626,1698,live_adverse_cut
LINK_USDT,SHORT,1786809666180,1786809666849,1786809672212,9.492,9.493,-2.630125472143071,2.1068155482975786,-1.053518752633213,-1.053518752633213,1.0535187526350842,-2.107037505266426,5363,669,348,binance_target_caught
LINK_USDT,LONG,1786809675018,1786809676843,1786809678137,9.496,9.495,2.1071485090854094,1.0531304302050677,-1.0530749789397873,-1.0530749789397873,0.0,-2.106149957877704,1294,1825,330,live_adverse_cut
LINK_USDT,LONG,1786809697570,1786809699360,1786809703235,9.505,9.504,2.631094287288197,1.052133200064414,-1.052077853762464,-1.052077853762464,0.0,-3.156233561283654,3875,1790,314,live_adverse_cut
LINK_USDT,LONG,1786809720748,1786809721401,1786809737415,9.509,9.511,3.155569606493404,1.0516905926289344,2.1032705857596925,2.1032705857596925,2.1032705857596925,-1.0516352928817143,16014,653,544,binance_target_caught
LINK_USDT,LONG,1786809741592,1786809742297,1786809754047,9.516,9.511,1.5765824979456178,1.0509169250164951,-5.25430853299788,-5.25430853299788,0.0,-6.305170239596707,11750,705,990,live_adverse_cut
