symbol,direction,signal_ms,entry_ms,exit_ms,entry_price,exit_price,impulse_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,hold_ms,signal_to_fill_ms,exit_decision_to_fill_ms,exit_reason,requested_notional_usdt,filled_notional_usdt,fill_ratio,entry_base_qty,entry_limit_price,entry_depth_levels,exit_depth_levels,entry_book_levels,entry_visible_notional_usdt,equity_before_usdt,equity_after_usdt
LINK_USDT,LONG,1786834038546,1786834038726,1786834040913,9.528,9.528,2.099186572917121,1.049593282604274,0.0,0.0,1.0495382031900145,-1.0495382031918787,2187,180,163,binance_target_caught,10000.0,9995.002498750626,1.0,1049.013696342425,9.532764,1,1,20,141832.03519999998,60.0,60.0
DOGE_USDT,LONG,1786834075811,1786834075984,1786834079642,0.06992,0.06992,2.1458460080198654,1.430308231423317,0.0,0.0,1.430205949658181,-1.4302059496561963,3658,173,168,binance_target_caught,10000.0,9995.002498750624,1.0,142949.12040547232,0.06995496,1,1,20,451741.05799999996,60.0,60.0
DOGE_USDT,LONG,1786834108076,1786834108281,1786834127768,0.06995,0.06992,2.144925472064276,1.4296947601681496,-4.28877769835629,-4.286634381165707,0.0,-4.28877769835629,19487,205,371,live_adverse_cut,10000.0,9995.002498750626,1.0,142887.8127055129,0.06998497499999999,1,1,20,535885.2890000001,60.0,55.713365618834295
LINK_USDT,LONG,1786834128815,1786834129014,1786834131901,9.532232483069082,9.532756835576599,1.573687940930724,1.049152809106065,0.5500836330295816,0.5105406969973345,1.8542528563565872,-1.2929637115656074,2887,199,1533,binance_target_caught,9285.560936472382,9281.146835537269,1.0,973.6593030040144,9.536766,2,2,20,97088.96680000002,55.713365618834295,56.22390631583163
DOGE_USDT,SHORT,1786834138971,1786834139139,1786834142264,0.06992,0.06989,-5.721233081753839,2.8600028600037364,4.290617848970573,4.022599566075647,4.290617848970573,-2.8604118993143772,3125,168,321,binance_target_caught,9370.651052638605,9375.338721999606,1.0,134086.65220251153,0.06988504,1,1,20,748345.645,56.22390631583163,60.246505881907275
LINK_USDT,LONG,1786834149269,1786834149471,1786834152224,9.534247050767823,9.537,2.0976454007374907,1.0489327109678734,2.887432240343067,2.8979212251964532,2.887432240343067,-1.307969849305117,2753,202,1163,binance_target_caught,10041.084313651214,10036.326341123558,1.0,1052.6606125981707,9.538767,2,1,20,89399.48100000001,60.246505881907275,63.14442710710373
LINK_USDT,LONG,1786834184254,1786834184414,1786834218130,9.536117548388987,9.532765051278544,3.1456433099910055,1.0487127051538419,-3.5155786340001836,-3.698016578559631,0.9253782858027686,-3.2692008809327424,33716,160,415,live_adverse_cut,10524.071184517288,10518.941441943687,1.0,1103.0633157118261,9.540768,2,2,20,107304.46380000001,63.14442710710373,59.4464105285441
LINK_USDT,SHORT,1786834250810,1786834250978,1786834254249,9.532806093950706,9.531,-2.0980855046789193,1.0489327109678734,1.894608925121528,1.878029165405123,1.894608925121528,-0.20340920331606233,3271,168,1628,binance_target_caught,9907.735088090683,9912.489804642182,1.0,1039.8291654051807,9.5282335,2,1,20,94549.31720000002,59.4464105285441,61.32443969394922
DOGE_USDT,SHORT,1786834255986,1786834256154,1786834318563,0.06986,0.06986,-2.146613725104226,1.431331854289862,-0.0,-0.0,0.0,-1.4314342971652052,62409,168,895,timeout,10220.739948991537,10225.852875429253,1.0,146376.36523660537,0.06982507,1,1,20,461651.499,61.32443969394922,61.32443969394922
LINK_USDT,LONG,1786834323878,1786834324042,1786834334239,9.525784896571118,9.526,1.5747618205301799,1.0499238805199456,0.2258117637735343,0.23069999999909543,0.2258117637735343,-2.923535017172556,10197,164,174,live_adverse_cut,10220.739948991537,10216.473940235617,1.0,1072.5073105433148,9.5297625,2,1,20,84198.8252,61.32443969394922,61.55513969394832
LINK_USDT,SHORT,1786834346931,1786834347100,1786834365301,9.52,9.518188172788163,-1.5756716332918714,1.0503650018394224,1.9031798443664012,1.9534850955924736,4.201680672268445,-1.0504201680685106,18201,169,214,binance_target_caught,10259.189948991387,10264.322110046409,1.0,1078.1850955931102,9.51524,1,2,20,92268.0798,61.55513969394832,63.5086247895408
LINK_USDT,LONG,1786834368429,1786834368598,1786834414666,9.517176082432357,9.516688352137527,3.151922698925531,1.0508064939835504,-0.5124737533550614,-0.5421806677986206,2.9671801206401858,-2.286479112615408,46068,169,164,live_adverse_cut,10584.770798256799,10579.676798061837,1.0,1111.640333900172,9.521758499999999,2,2,20,129919.5047,63.5086247895408,62.96644412174218
LINK_USDT,LONG,1786834421490,1786834421654,1786834425223,9.517211631902414,9.518393503560736,1.5760855321710017,1.0508064939835504,1.241825551466855,1.30260000000289,1.879088294717437,-1.2730954708971536,3569,164,363,binance_target_caught,10494.407353623696,10489.396022366003,1.0,1102.1501284267708,9.521758499999999,2,2,20,124060.24050000001,62.96644412174218,64.26904412174507
LINK_USDT,SHORT,1786834438237,1786834438437,1786834441148,9.517885646026466,9.51726800094764,-2.1011714107887434,1.05058570152802,0.6489309724832177,0.6954422581930277,0.9305071098811604,-1.1707999181515092,2711,200,472,binance_target_caught,10711.507353624178,10716.73702877563,1.0,1125.957741806833,9.513241,2,2,20,74409.8125,64.26904412174507,64.9644863799381
LINK_USDT,LONG,1786834444757,1786834444927,1786834455316,9.518324804443937,9.52,1.5759199465295233,1.0506960861583632,1.7599688920895287,1.9047039288641419,1.7599688920895287,-1.391846224158098,10389,170,440,binance_target_caught,10827.41439665635,10822.372698887739,1.0,1137.0039288672904,9.522759,2,1,20,119523.5567,64.9644863799381,66.86919030880223
LINK_USDT,SHORT,1786834473188,1786834473370,1786834474353,9.515566243650134,9.517362495845289,-3.6771465757217636,1.0508064939835504,-1.8876986919752543,-2.1047712079447947,0.0,-1.5067483249583211,983,182,362,live_adverse_cut,11144.865051467039,11149.932014533524,1.0,1171.7570693151365,9.511242000000001,2,2,20,109447.1343,66.86919030880223,64.76441910085744
XRP_USDT,SHORT,1786834503525,1786834503688,1786834537537,1.004,1.0037,-1.9921310888136672,0.9959663363377221,2.988047808764611,3.2269331429086203,2.988047808764611,-0.9960159362548704,33849,163,302,binance_target_caught,10794.069850142905,10799.469584935372,1.0,10756.443809696586,1.003498,1,1,20,953392.6118000001,64.76441910085744,67.99135224376606
LINK_USDT,SHORT,1786834546742,1786834546929,1786834549582,9.519,9.517,-2.1011714107887434,1.0504753400908091,2.101061035823792,2.3820907282365753,3.1515915537347556,-1.0505305179109632,2653,187,359,binance_target_caught,11331.892040627677,11337.560821038194,1.0,1191.04536411789,9.514240500000001,1,1,20,98038.34950000001,67.99135224376606,70.37344297200264
XRP_USDT,SHORT,1786834631503,1786834631661,1786834692742,1.004,1.0039,-1.9921310888136672,0.9959663363377221,0.9960159362548704,1.168802245943604,0.9960159362548704,-0.9960159362548704,61081,158,807,timeout,11728.907162000438,11734.774549275076,1.0,11688.022459437327,1.003498,1,1,20,1250784.4418000001,70.37344297200264,71.54224521794625
LINK_USDT,SHORT,1786834792117,1786834792305,1786834798953,9.53,9.528172313145603,-2.0987460069678283,1.049262892819078,1.9178246111186243,2.287901927858279,3.1479538300106125,-1.0493179433381135,6648,188,1774,binance_target_caught,11923.707536324373,11929.672372510628,1.0,1251.8019278605066,9.525235,1,2,20,87813.5349,71.54224521794625,73.83014714580452
LINK_USDT,SHORT,1786834809353,1786834809549,1786834814794,9.525915135681172,9.52,-2.0994069252561314,2.099296735594277,6.209519607220268,7.644583326872174,6.209519607220268,-2.1886236536149406,5245,196,173,binance_target_caught,12305.024524300754,12311.070437692557,1.0,1292.3766653745467,9.521237000000001,2,1,20,104845.60150000002,73.83014714580452,81.4747304726767
LINK_USDT,SHORT,1786834824560,1786834824740,1786834835979,9.521724772708751,9.520272914410542,-2.10050938124686,1.0501443948537104,1.524784986823131,2.0715000000014467,1.8114078593145706,-0.28905192895098086,11239,180,343,binance_target_caught,13579.121745446117,13585.522010663217,1.0,1426.792134299256,9.517239,2,2,20,79109.51440000001,81.4747304726767,83.54623047267815
XRP_USDT,LONG,1786834838097,1786834838257,1786834899988,1.0033,1.0032,3.9866447929218136,0.9967605282829702,-0.9967108541810922,-1.3871636638019895,1.9934217083621844,-0.9967108541810922,61731,160,161,timeout,13924.371745446357,13917.413038926894,1.0,13871.636638021422,1.00380165,1,1,20,1293949.6091,83.54623047267815,82.15906680887616
DOGE_USDT,LONG,1786834954937,1786834955114,1786834964504,0.06982,0.06985,2.864303635768885,1.4323569433497279,4.296763105127793,5.880693770050117,4.296763105127793,-1.4322543683752684,9390,177,381,binance_target_caught,13693.17780147936,13686.33463416228,1.0,196023.12566832255,0.06985490999999999,1,1,20,628711.559,82.15906680887616,88.03976057892628
LINK_USDT,SHORT,1786835000629,1786835000883,1786835066247,9.53,9.531445751856467,-2.0987460069678283,1.049262892819078,-1.5170533646035946,-2.2271304819935804,1.0493179433362496,-1.0493179433381135,65364,254,451,timeout,14673.293429821048,14680.633746694393,1.0,1540.465240996264,9.525235,1,2,20,98342.7179,88.03976057892628,85.8126300969327
XRP_USDT,LONG,1786835097075,1786835097249,1786835137212,1.0036,1.0034,1.9927265546939004,0.9964625579192763,-1.9928258270224988,-2.848736057669427,0.9964129135112494,-1.9928258270224988,39963,174,255,live_adverse_cut,14302.10501615545,14294.95753738676,1.0,14243.680288348703,1.0041018,1,1,20,936904.7045,85.8126300969327,82.96389403926327
XRP_USDT,SHORT,1786835156328,1786835156493,1786835169339,1.0032,1.0034,-1.9933223766604842,0.9967605282829702,-1.9936204146728265,-2.758020891069342,0.0,-1.9936204146728265,12846,165,1169,live_adverse_cut,13827.315673210544,13834.232789605345,1.0,13790.10445534823,1.0026984,1,1,20,1514855.4458,82.96389403926327,80.20587314819393
LINK_USDT,LONG,1786835176987,1786835177166,1786835200962,9.532372688456745,9.53,2.098305625910834,1.049152809106065,-2.4890848630146647,-3.325787612940806,0.0,-2.4890848630146647,23796,179,628,live_adverse_cut,13367.645524698988,13361.48743804888,1.0,1401.695870979637,9.536766,2,1,20,129291.826,80.20587314819393,76.88008553525313
LINK_USDT,LONG,1786835226955,1786835227115,1786835289117,9.534096324424146,9.529471453778884,2.0976454007374907,1.0489327109678734,-4.850874679558716,-6.212550860386293,0.94783558410147,-4.296499935345654,62002,160,397,live_adverse_cut,12813.347589208855,12807.073508960344,1.0,1343.2918100640109,9.538767,2,2,20,131579.17780000003,76.88008553525313,70.66753467486684
LINK_USDT,SHORT,1786835328505,1786835328663,1786835331288,9.53,9.528,-2.0987460069678283,1.049262892819078,2.0986358866724992,2.472993568306632,2.0986358866724992,0.0,2625,158,859,binance_target_caught,11777.92244581114,11783.814352987634,1.0,1236.4967841540015,9.525235,1,1,20,73109.3439,70.66753467486684,73.14052824317348
LINK_USDT,LONG,1786835346132,1786835346307,1786835363783,9.528204696393024,9.523836280901968,2.0989662668228686,1.049593282604274,-4.584720448658971,-5.5861415884820875,0.834683586591264,-4.412894692130614,17476,175,639,live_adverse_cut,12190.088040528912,12184.257799439072,1.0,1278.756931413482,9.532764,2,2,20,93806.50880000001,73.14052824317348,67.55438665469138
LINK_USDT,SHORT,1786835412208,1786835412374,1786835426859,9.525,9.523,-1.5745138720953322,2.0995171110632915,2.0997375328091,2.3652906647449337,2.0997375328091,-2.099737532807235,14485,166,378,binance_target_caught,11259.064442448564,11264.696790843984,1.0,1182.6453323720718,9.5202375,1,1,20,89092.2464,67.55438665469138,69.91967731943632
XRP_USDT,SHORT,1786835439022,1786835439181,1786835440954,1.0025,1.0027,-3.989030219936398,0.9974564859606903,-1.9950124688277104,-2.326006804547032,0.0,-1.9950124688277104,1773,159,615,live_adverse_cut,11653.279553239387,11659.109107793282,1.0,11630.034022736441,1.00199875,1,1,20,822163.5175,69.91967731943632,67.59367051488928
XRP_USDT,SHORT,1786835451958,1786835452126,1786835459429,1.0025,1.002781828918915,-1.995111982276943,0.9974564859606903,-2.8112610365589936,-3.168641858204348,0.9975062344138552,-2.992518703241566,7303,168,181,live_adverse_cut,11265.611752481547,11271.247376169631,1.0,11243.139527351253,1.00199875,1,3,20,1244375.1538999998,67.59367051488928,64.42502865668493
DOGE_USDT,SHORT,1786835468419,1786835468597,1786835476930,0.06975,0.06973,-2.867589094138792,1.4335889900360006,2.8673835125456804,3.080394613397721,2.8673835125456804,0.0,8333,178,346,binance_target_caught,10737.504776114156,10742.876214221264,1.0,154019.7306698389,0.06971512500000002,1,1,20,802440.4720000001,64.42502865668493,67.50542327008264
XRP_USDT,LONG,1786835508580,1786835508754,1786835520156,1.0021,1.0019,1.9961075968259814,0.9979541939023898,-1.995808801516595,-2.244343126978746,0.0,-1.995808801516595,11402,174,1055,live_adverse_cut,11250.903878347108,11245.281237728244,1.0,11221.715634894965,1.00260105,1,1,20,813724.6613,67.50542327008264,65.2610801431039
LINK_USDT,SHORT,1786835521849,1786835522083,1786835531396,9.515,9.518148638995683,-2.101612995703936,2.1017234131976585,-3.309131892467176,-3.6010925735934873,0.0,-3.152916447714255,9313,234,380,live_adverse_cut,10876.846690517317,10882.287834434534,1.0,1143.6981433982694,9.5102425,1,2,20,115975.3783,65.2610801431039,61.659987569510406
XRP_USDT,SHORT,1786835540772,1786835540932,1786835553405,1.0017,1.0016,-1.996306838989462,0.9982530571498777,0.9983028850952279,1.0264356092309175,1.9966057701904558,-0.9983028850952279,12473,160,338,binance_target_caught,10276.6645949184,10281.805497667234,1.0,10264.356092310305,1.0011991500000001,1,1,20,1082597.9879,61.659987569510406,62.68642317874132
LINK_USDT,SHORT,1786835564357,1786835564549,1786835570427,9.514804768079074,9.514396037076727,-2.1018338577728066,1.0509169250164951,0.42957371413240086,0.44902262971361584,0.8458061922347404,-1.256181235516175,5878,192,360,binance_target_caught,10447.737196456887,10452.749200925748,1.0,1098.5773702886006,9.5102425,2,2,20,77560.9928,62.68642317874132,63.13544580845494
XRP_USDT,SHORT,1786835576642,1786835576843,1786835580582,1.0015,1.0013,-1.9971042055487562,0.9984523987817782,1.9970044932598898,2.1024140230690476,1.9970044932598898,-0.9985022466299449,3739,201,533,binance_target_caught,10522.574301409157,10527.838220519416,1.0,10512.070115346396,1.00099925,1,1,20,1592048.3976000003,63.13544580845494,65.23785983152399
DOGE_USDT,SHORT,1786835581302,1786835581565,1786835612400,0.06957,0.06965,-4.307250604998614,2.8743891922955225,-11.499209429351263,-12.509318207859872,11.499209429353257,-12.936610608019672,30835,263,168,positive_trailing_stop,10872.976638587332,10878.415846510585,1.0,156366.47759825477,0.06953521500000001,1,1,20,1240027.775,65.23785983152399,52.72854162366412
LINK_USDT,SHORT,1786835612661,1786835612829,1786835613375,9.517,9.516,-2.101612995703936,1.0506960861583632,1.0507512871697444,0.9238716521869023,2.101502574339489,-1.050751287171611,546,168,174,binance_target_caught,8788.090270610688,8792.486513867621,1.0,923.8716521874143,9.5122415,1,1,20,76741.4457,52.72854162366412,53.652413275851025
