timestamp_ms,excursion_id,event,symbol,direction,residual_bps,threshold_bps,net_margin_bps,spread_bps,binance_move_bps,mexc_move_bps,binance_age_ms,mexc_age_ms,reject_reason,signal_to_order_latency_ms,live_pnl_usdt,move_bps,mfe_bps,mae_bps,exit_reason,hold_ms,filled_qty,effective_leverage,live_notional_usdt,demo_entry_fee_usdt,demo_exit_fee_usdt,demo_gross_pnl_usdt,demo_net_pnl_usdt,exit_residual_bps,decision_demo_net_bps,signal_detected_ms,demo_book_lookup_start_ms,demo_book_lookup_end_ms,ioc_call_start_ms,ioc_post_start_ms,ioc_post_response_ms,ioc_confirmed_ms,reconciliation_start_ms,position_visible_ms,signal_to_ioc_post_ms,ioc_post_roundtrip_ms,ioc_confirmation_ms,reconciliation_ms,signal_to_position_visible_ms
1786794144846,2f1035c0b68945cba92ae404821a31ab,crossing,LINK_USDT,-1,-2.154127856,1.276947930,0.877179926,1.076947930,-2.154127856,0.000000000,0.000,190.000,,,,,,,,,,,,,,,,,,1786794144846.359,,,,,,,,,,,,,
1786794144848,2f1035c0b68945cba92ae404821a31ab,demo_ioc_request,LINK_USDT,-1,-2.154127856,1.276947930,0.877179926,1.076947930,-2.154127856,0.000000000,4.000,194.000,,2.630,,,,,,,,,,,,,,,,1786794144846.359,1786794144848.069,1786794144848.077,1786794144848.989,,,,,,,,,,
1786794146486,2f1035c0b68945cba92ae404821a31ab,demo_ioc_response,LINK_USDT,-1,-2.154127856,1.276947930,0.877179926,1.076947930,-2.154127856,0.000000000,4.000,194.000,,2.630,,,,,,,,,,,,,,,,1786794144846.359,1786794144848.069,1786794144848.077,1786794144848.989,1786794144870.123,1786794145167.198,1786794146486.659,,,23.764,297.075,1616.536,,
1786794151879,2f1035c0b68945cba92ae404821a31ab,rejected,LINK_USDT,-1,-2.154127856,1.276947930,0.877179926,1.076947930,-2.154127856,0.000000000,4.000,194.000,demo_ioc_unfilled_or_pending,2.630,,,,,,,,,,,,,,,,1786794144846.359,1786794144848.069,1786794144848.077,1786794144848.989,1786794144870.123,1786794145167.198,1786794146486.659,1786794146488.033,,23.764,297.075,1616.536,,
1786794207744,f8ca0dcc2c8d4d83ac1dcc3d8556a534,crossing,LINK_USDT,1,3.234385219,1.278457805,1.955927414,1.078457805,1.078399656,0.000000000,0.000,186.000,,,,,,,,,,,,,,,,,,1786794207744.541,,,,,,,,,,,,,
1786794207746,f8ca0dcc2c8d4d83ac1dcc3d8556a534,demo_ioc_request,LINK_USDT,1,3.234385219,1.278457805,1.955927414,1.078457805,1.078399656,0.000000000,4.000,190.000,,1.653,,,,,,,,,,,,,,,,1786794207744.541,1786794207745.632,1786794207745.639,1786794207746.194,,,,,,,,,,
1786794208705,f8ca0dcc2c8d4d83ac1dcc3d8556a534,demo_ioc_response,LINK_USDT,1,3.234385219,1.278457805,1.955927414,1.078457805,1.078399656,0.000000000,4.000,190.000,,1.653,,,,,,,,,,,,,,,,1786794207744.541,1786794207745.632,1786794207745.639,1786794207746.194,1786794207764.175,1786794208113.058,1786794208396.507,,,19.634,348.884,632.333,,
1786794209037,f8ca0dcc2c8d4d83ac1dcc3d8556a534,demo_position_visible,LINK_USDT,1,3.234385219,1.278457805,1.955927414,1.078457805,1.078399656,0.000000000,4.000,190.000,,,,,,,,,1077.8,200,,,,,,,,1786794207744.541,1786794207745.632,1786794207745.639,1786794207746.194,1786794207764.175,1786794208113.058,1786794208396.507,1786794208706.415,1786794209037.467,19.634,348.884,632.333,331.052,1292.926
1786794210460,f8ca0dcc2c8d4d83ac1dcc3d8556a534,demo_exit,LINK_USDT,1,3.234385219,1.278457805,1.955927414,1.078457805,1.078399656,0.000000000,4.000,190.000,,,1.077800000,1.078399655,1.078399655,0.000000000,microspread_converged,1558.459,1077.8,200,9994.439400000,1.998887880,1.998612120,-1.077800000,-5.075300000,0.000000000,-5.078183975,1786794207744.541,1786794207745.632,1786794207745.639,1786794207746.194,1786794207764.175,1786794208113.058,1786794208396.507,1786794208706.415,1786794209037.467,19.634,348.884,632.333,331.052,1292.926
1786794217215,633c6bd0ef0e4933982b4898989d3258,crossing,LINK_USDT,-1,-1.617584941,1.278225241,0.339359700,1.078225241,-2.156683030,0.000000000,0.000,646.000,,,,,,,,,,,,,,,,,,1786794217215.363,,,,,,,,,,,,,
