symbol,binance_symbol,events,long_events,short_events,avg_edge_bps,max_edge_bps,max_binance_move_bps,max_mexc_move_bps,min_age_ms,live_spread_bps,live_bid,live_ask
SKYAI_USDT,SKYAIUSDT,59,30,29,9.657761,47.760567,53.908486,12.418505,8.0,4.739711,0.06328,0.06331
VELVET_USDT,VELVETUSDT,39,16,23,9.225062,30.658925,19.986103,12.147507,27.0,4.346125,1.1502,1.1507
BTW_USDT,BTWUSDT,25,11,14,13.733300,45.896615,48.104011,13.421470,14.0,2.678452,0.29864,0.29872
AKE_USDT,AKEUSDT,22,9,13,5.227885,17.993447,12.295471,3.773229,18.0,4.722104,0.010586,0.010591
BEAT_USDT,BEATUSDT,7,5,2,10.857716,18.330376,23.302627,0.000000,32.0,21.030494,0.475,0.476
WLD_USDT,WLDUSDT,4,2,2,3.408793,5.181882,5.831754,2.915027,21.0,2.915877,0.3429,0.343
ZEC_USDT,ZECUSDT,3,1,2,10.747720,16.730874,18.403220,4.092574,0.0,0.204242,489.61,489.62
EDEN_USDT,EDENUSDT,3,3,0,7.730739,9.042257,7.423512,0.000000,46.0,6.372809,0.04706,0.04709
FOLKS_USDT,FOLKSUSDT,2,0,2,7.100138,7.587309,30.287757,25.220694,38.0,10.111223,1.977,1.979
ETHFI_USDT,ETHFIUSDT,2,2,0,4.800173,8.692138,4.163631,0.000000,259.0,4.163197,0.4803,0.4805
XLM_USDT,XLMUSDT,2,1,1,1.896667,2.528303,1.899816,0.000000,166.0,0.633332,0.15789,0.1579
TAO_USDT,TAOUSDT,2,0,2,1.634339,1.775328,2.027010,1.520412,11.0,,,
LINK_USDT,LINKUSDT,2,2,0,1.564546,2.353959,3.219575,1.073364,0.0,1.073595,9.314,9.315
AVAX_USDT,AVAXUSDT,2,0,2,1.177408,1.367152,3.041131,3.040900,24.0,1.520797,6.575,6.576
WLFI_USDT,WLFIUSDT,2,1,1,0.996698,1.411607,1.772107,1.771950,49.0,,,
STO_USDT,STOUSDT,1,1,0,10.237493,10.237493,9.004953,0.000000,255.0,,,
CHIP_USDT,CHIPUSDT,1,1,0,9.562824,9.562824,4.201681,4.195511,60.0,,,
BANK_USDT,BANKUSDT,1,1,0,6.310709,6.310709,2.688895,0.000000,399.0,,,
PIPPIN_USDT,PIPPINUSDT,1,0,1,4.974953,4.974953,5.803831,5.802147,56.0,,,
ALLO_USDT,ALLOUSDT,1,1,0,4.695668,4.695668,0.574839,0.000000,283.0,,,
BSB_USDT,BSBUSDT,1,0,1,4.104903,4.104903,0.406215,0.000000,370.0,,,
RE_USDT,REUSDT,1,1,0,3.574639,3.574639,8.850537,0.000000,312.0,,,
UNI_USDT,UNIUSDT,1,0,1,2.873050,2.873050,3.071253,0.000000,441.0,,,
SIREN_USDT,SIRENUSDT,1,1,0,2.490146,2.490146,1.817356,0.000000,449.0,,,
XRP_USDT,XRPUSDT,1,0,1,1.648853,1.648853,2.992519,1.994813,17.0,,,
ADA_USDT,ADAUSDT,1,0,1,1.609417,1.609417,5.602241,0.000000,458.0,,,
PYTH_USDT,PYTHUSDT,1,0,1,1.079163,1.079163,2.517623,0.000000,259.0,,,
SUI_USDT,SUIUSDT,1,1,0,0.897951,0.897951,1.465846,0.000000,40.0,,,
POWER_USDT,POWERUSDT,1,0,1,0.664102,0.664102,2.400960,1.200264,190.0,,,
TRADOOR_USDT,TRADOORUSDT,1,0,1,0.580454,0.580454,0.774084,0.000000,497.0,,,
RIVER_USDT,RIVERUSDT,1,0,1,0.369925,0.369925,1.849625,0.000000,227.0,,,
ONDO_USDT,ONDOUSDT,1,0,1,0.367464,0.367464,3.067485,0.000000,401.0,,,
1000BONK_USDT,1000BONKUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
AAVE_USDT,AAVEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ALGO_USDT,ALGOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
APE_USDT,APEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
APT_USDT,APTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ARB_USDT,ARBUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ASTER_USDT,ASTERUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ATOM_USDT,ATOMUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BCH_USDT,BCHUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BILL_USDT,BILLUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
BRETT_USDT,BRETTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
CHZ_USDT,CHZUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
COAI_USDT,COAIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
CRV_USDT,CRVUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DASH_USDT,DASHUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DEXE_USDT,DEXEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DOGE_USDT,DOGEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
DOT_USDT,DOTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ENA_USDT,ENAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ESPORTS_USDT,ESPORTSUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
EVAA_USDT,EVAAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
FARTCOIN_USDT,FARTCOINUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
FET_USDT,FETUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
FHE_USDT,FHEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
GALA_USDT,GALAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
GOAT_USDT,GOATUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
HBAR_USDT,HBARUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
HYPE_USDT,HYPEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ICP_USDT,ICPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
INJ_USDT,INJUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
JASMY_USDT,JASMYUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
JUP_USDT,JUPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
KAS_USDT,KASUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LAB_USDT,LABUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LAYER_USDT,LAYERUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LDO_USDT,LDOUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LIGHT_USDT,LIGHTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LTC_USDT,LTCUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
LYN_USDT,LYNUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
MEGA_USDT,MEGAUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
MYX_USDT,MYXUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
NEAR_USDT,NEARUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
OP_USDT,OPUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
ORDI_USDT,ORDIUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
PENGU_USDT,PENGUUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
PNUT_USDT,PNUTUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
POL_USDT,POLUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
RAVE_USDT,RAVEUSDT,0,0,0,0.000000,0.000000,0.000000,0.000000,,,,
