symbol,direction,entry_price,exit_price,entry_edge_bps,entry_spread_bps,pnl_bps,pnl_usdt,mfe_bps,mae_bps,duration_s,exit_reason,exit_trail_bps,execution_latency_ms
VELVET_USDT,LONG,1.1344,1.1346,9.638276,4.408588,1.763047,1.76304654,1.763047,-4.407616,2.158899,binance_reversal,,952.396
AKE_USDT,LONG,0.010257,0.010251,4.757904,0.974991,-5.849664,-5.84966364,0.000000,-5.849664,0.400343,adverse_cut,,963.286
AKE_USDT,SHORT,0.010246,0.010255,5.020738,5.854230,-8.783916,-8.78391567,0.000000,-8.783916,1.277315,adverse_cut,,968.281
AKE_USDT,LONG,0.010261,0.010272,3.563098,0.974611,10.720203,10.72020271,10.720203,-0.974564,0.400609,lead_lag_reversed,9.220203,984.312
VELVET_USDT,LONG,1.134,1.1344,8.229929,0.881873,3.527337,3.52733686,3.527337,-0.881834,0.778695,lead_lag_converged,0.500000,969.753
AKE_USDT,SHORT,0.010306,0.010307,4.085247,0.970261,-0.970309,-0.97030856,0.000000,-0.970309,0.659610,binance_reversal,,939.878
AKE_USDT,SHORT,0.010312,0.01032,8.406086,13.567206,-7.757952,-7.75795190,0.000000,-10.667184,0.490074,binance_reversal,,949.482
AKE_USDT,SHORT,0.010305,0.010309,16.740248,3.880858,-3.881611,-3.88161087,0.000000,-3.881611,0.060222,binance_reversal,,958.099
AKE_USDT,SHORT,0.010291,0.010296,2.406261,1.943257,-4.858614,-4.85861432,0.000000,-4.858614,0.842656,adverse_cut,,966.652
VELVET_USDT,SHORT,1.1348,1.1348,7.078993,2.643288,-0.000000,-0.00000000,0.000000,-2.643638,1.056404,binance_reversal,,978.015
AKE_USDT,SHORT,0.010294,0.010298,4.753482,1.942691,-3.885759,-3.88575869,0.000000,-3.885759,0.288952,adverse_cut,,964.324
VELVET_USDT,LONG,1.1327,1.1329,9.407180,5.298481,1.765693,1.76569259,1.765693,-5.297078,10.127827,binance_reversal,,977.604
AKE_USDT,SHORT,0.010313,0.010302,11.330523,2.908527,10.666150,10.66614952,12.605449,-2.908950,2.384066,binance_reversal,9.696923,948.740
VELVET_USDT,SHORT,1.1319,1.1336,15.704635,7.948073,-15.018995,-15.01899461,0.000000,-15.018995,2.993118,adverse_cut,,988.005
VELVET_USDT,LONG,1.1329,1.1315,23.714834,7.947371,-12.357666,-12.35766617,0.000000,-12.357666,0.065561,adverse_cut,,977.990
AKE_USDT,SHORT,0.010288,0.010293,3.786721,3.887269,-4.860031,-4.86003110,0.000000,-4.860031,0.450843,adverse_cut,,982.722
VELVET_USDT,SHORT,1.1304,1.1305,8.048044,0.884603,-0.884643,-0.88464260,0.000000,-0.884643,0.064012,binance_reversal,,973.330
VELVET_USDT,SHORT,1.1293,1.1302,5.091091,4.426542,-7.969539,-7.96953865,0.000000,-7.969539,0.404493,adverse_cut,,975.667
AKE_USDT,LONG,0.010355,0.010356,8.180908,5.795981,0.965717,0.96571704,0.965717,-5.794302,0.493156,lead_lag_reversed,,979.925
AKE_USDT,SHORT,0.010362,0.010365,50.639689,2.894775,-2.895194,-2.89519398,0.000000,-2.895194,0.228125,binance_reversal,,972.451
AKE_USDT,SHORT,0.010354,0.010355,28.911221,0.965764,-0.965810,-0.96581031,0.000000,-0.965810,0.177021,binance_reversal,,962.074
AKE_USDT,SHORT,0.010353,0.010342,22.675595,4.828352,10.624940,10.62493963,15.454458,-4.829518,2.474157,positive_trailing_stop,10.626106,972.838
AKE_USDT,LONG,0.010327,0.010357,4.486797,4.842850,29.050063,29.05006294,39.701753,-4.841677,6.535577,positive_trailing_stop,34.858903,980.039
VELVET_USDT,SHORT,1.132,1.1319,16.234133,7.064641,0.883392,0.88339223,0.883392,-7.067138,1.131675,lead_lag_reversed,,981.853
AKE_USDT,LONG,0.010378,0.010373,11.964865,4.819045,-4.817884,-4.81788399,0.000000,-4.817884,0.238719,binance_reversal,,945.078
AKE_USDT,LONG,0.010394,0.010392,6.824876,1.924372,-1.924187,-1.92418703,0.000000,-1.924187,0.062580,lead_lag_reversed,,963.506
AKE_USDT,SHORT,0.010401,0.010404,3.280582,1.922707,-2.884338,-2.88433804,0.000000,-2.884338,2.215382,adverse_cut,,981.422
VELVET_USDT,SHORT,1.1363,1.138,8.087625,6.158448,-14.960838,-14.96083781,0.000000,-14.960838,0.266997,adverse_cut,,957.701
VELVET_USDT,SHORT,1.1369,1.1382,10.541677,4.396957,-11.434603,-11.43460287,0.000000,-11.434603,1.634080,adverse_cut,,954.391
AKE_USDT,SHORT,0.01039,0.010396,6.126957,8.658425,-5.774783,-5.77478345,0.000000,-8.662175,4.081155,lead_lag_reversed,,952.153
